Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,좌%,좌중%,중%,우중%,우%,당%,밀%,좌,좌중,중,우중,우,당,밀,좌_안타,좌중_안타,중_안타,우중_안타,우_안타,당_안타,밀_안타,좌_안타비율,좌중안타비율,중안타비율,우중안타비율,우안타비율,당안타비율,밀안타비율
엔스,15,15,0,0,0,0,8,2,0,0,79.1,42,47,46.65,352,87,15,0,7,27,2,0,78,7,0,3,4.76,5.33,5.29,5.46,3.93,1.44,1.24,234,0.342,51.8,4.9,40.8,45.7,2.4,1.1,6.3,6.9,20.1,20.1,20.5,22.1,17.2,54.1,45.9,49,49,50,54,42,105,89,19,18,19,12,19,38,30,0.388,0.367,0.380,0.222,0.452,0.362,0.337
코너,15,15,0,0,0,0,5,5,0,0,80.1,42,46,44.45,352,79,11,3,13,25,13,0,81,2,0,4,4.71,5.15,4.98,4.83,5.07,1.29,1.10,219,0.301,37.8,6.0,53.2,59.2,3.0,0.6,9.4,7.6,18.3,19.6,17.8,18.3,26.1,57.7,42.3,42,45,41,42,60,109,80,14,14,15,8,28,44,20,0.333,0.311,0.366,0.190,0.467,0.404,0.250
쿠에바스,15,15,0,0,0,0,4,7,0,0,89.1,39,41,41.00,368,71,16,2,9,29,1,2,90,7,0,2,3.93,4.13,4.13,3.97,3.85,1.12,2.71,238,0.261,44.8,5.2,48.0,53.2,2.0,0.8,6.8,7.0,20.7,17.1,18.7,22.8,20.7,57.5,42.5,51,42,46,56,51,115,85,17,8,14,15,17,38,19,0.333,0.190,0.304,0.268,0.333,0.330,0.224
송명기,15,0,15,4,0,0,2,1,0,1,19.2,12,14,14.00,90,19,4,0,1,9,2,1,20,2,0,2,5.49,6.41,6.41,6.37,3.84,1.42,0.01,58,0.310,32.2,3.4,59.3,62.7,5.1,0.5,2.7,10.5,22.0,25.4,13.6,18.6,20.3,56.9,43.1,13,15,8,11,12,29,22,6,3,0,6,4,12,7,0.462,0.200,0.000,0.545,0.333,0.414,0.318
하트,14,14,0,0,0,0,5,2,0,0,85.0,30,34,34.00,351,81,13,1,6,20,4,0,88,6,0,1,3.18,3.60,3.60,3.69,3.33,1.19,2.54,231,0.325,49.0,4.6,43.5,48.1,2.9,1.0,5.2,6.2,22.2,23.0,18.0,18.0,18.8,53.1,46.9,53,55,43,43,45,104,92,23,14,14,9,21,39,28,0.434,0.255,0.326,0.209,0.467,0.375,0.304
네일,14,14,0,0,0,0,7,2,0,0,85.1,21,32,31.30,356,79,18,1,5,16,6,0,86,11,1,2,2.21,3.38,3.30,3.40,3.18,1.11,3.31,240,0.308,59.7,2.8,34.3,37.1,3.2,1.6,5.4,8.9,15.7,19.0,17.7,27.8,19.8,56.4,43.6,39,47,44,69,49,115,89,17,9,18,17,18,31,30,0.436,0.191,0.409,0.246,0.367,0.270,0.337
김인범,14,9,5,4,0,0,2,4,0,0,49.0,20,21,20.30,218,49,5,1,3,21,6,0,19,2,1,2,3.67,3.86,3.73,3.75,5.67,1.43,1.55,167,0.275,39.5,7.6,47.1,54.7,5.8,0.7,3.2,14.3,24.0,17.5,20.5,19.3,18.7,66.9,33.1,41,30,35,33,32,91,45,17,5,8,6,13,30,11,0.415,0.167,0.229,0.182,0.406,0.330,0.244
이지강,14,0,14,1,0,0,1,1,0,1,17.1,9,9,8.15,78,18,1,0,1,8,1,0,13,1,0,1,4.67,4.67,4.23,4.44,4.62,1.50,0.32,54,0.315,53.6,7.1,33.9,41.1,5.4,1.3,4.3,16.7,25.5,18.2,16.4,21.8,18.2,63.0,37.0,14,10,9,12,10,29,17,5,5,5,1,2,8,5,0.357,0.500,0.556,0.083,0.200,0.276,0.294
곽빈,14,14,0,0,0,0,5,5,0,0,81.2,33,34,31.60,344,71,15,0,2,30,2,0,78,5,1,8,3.64,3.75,3.48,3.50,3.32,1.24,2.98,229,0.301,43.6,7.7,41.9,49.6,6.8,0.9,1.7,8.5,23.1,14.1,17.9,24.8,20.1,56.8,43.2,54,33,42,58,47,109,83,21,10,16,11,13,35,20,0.389,0.303,0.381,0.190,0.277,0.321,0.241
후라도,14,14,0,0,0,0,6,4,0,0,84.1,37,39,38.30,367,95,14,1,8,19,4,0,66,4,1,3,3.95,4.16,4.09,4.25,4.22,1.35,2.45,269,0.323,51.8,2.5,40.6,43.2,5.0,1.2,6.7,12.6,22.8,19.2,18.5,19.9,19.6,66.2,33.8,63,53,51,55,54,149,76,23,17,19,14,22,51,25,0.365,0.321,0.373,0.255,0.407,0.342,0.329
