Name,Team,Position,Pitching/Batting Style,Birth
이종준 (Jong-Jun Lee),LG,P,우투우타,"생년월일 :
2001년 03월 09일"
김대현 (Dae-Hyun Kim),LG,P,우투우타,"생년월일 :
1997년 03월 08일"
최지광 (Ji-Gwang Choi),삼성,P,우투우타,"생년월일 :
1998년 03월 13일"
김대우 (Dae-Woo Kim),삼성,P,우언우타,"생년월일 :
1988년 11월 21일"
우강훈 (Kang-Hoon Woo),LG,P,우언우타,"생년월일 :
2002년 10월 03일"
박진형 (JIn-Hyung Park),롯데,P,우투우타,"생년월일 :
1994년 06월 10일"
박시후 (Si-Hu Park),SSG,P,좌투좌타,"생년월일 :
2001년 05월 10일"
조동욱 (Dong-wook Jo),,P,좌투좌타,"생년월일 :
2004년 11월 02일"
장현식 (Hyeon-Sik Jang),KIA,P,우투우타,"생년월일 :
1995년 02월 24일"
송명기 (Myung-Gi Song),NC,P,우투우타,"생년월일 :
2000년 08월 09일"
윤호솔 (Ho-Sol Yoon),LG,P,우투우타,"생년월일 :
1994년 07월 15일"
박종훈 (Jong-Hoon Park),SSG,P,우언우타,"생년월일 :
1991년 08월 13일"
이의리 (Eui-Lee Lee),KIA,P,좌투좌타,"생년월일 :
2002년 06월 16일"
김유성 (Yoo-Seong Kim),두산,P,우투우타,"생년월일 :
2002년 01월 01일"
김강현 (Kang-Hyun Kim),롯데,C,우투좌타,"생년월일 :
1995년 02월 27일"
백정현 (Jung-Hyun Baek),삼성,P,좌투좌타,"생년월일 :
1987년 07월 13일"
전사민 (Sa-Min Jeon),NC,P,우투우타,"생년월일 :
1999년 07월 06일"
성동현 (Dong-Hyun Sung),LG,P,우투우타,"생년월일 :
1999년 05월 18일"
최준용 (Jun-Yong Choi ),롯데,P,우투우타,"생년월일 :
2001년 10월 10일"
고효준 (Hyo-Jun Ko),SSG,P,좌투좌타,"생년월일 :
1983년 02월 08일"
진우영 (Woo-young Jin),,P,우투우타,"생년월일 :
2001년 02월 05일"
정우준 (Woo-Joon Jung),롯데,P,우투우타,"생년월일 :
2000년 03월 17일"
고영표 (Yeong-Pyo Ko),KT,P,우언우타,"생년월일 :
1991년 09월 16일"
