Name,Team,Position,Pitching/Batting Style,Birth
고종욱 (Jong-Wook Ko),KIA,LF,우투좌타,"생년월일 :
1989년 01월 11일"
이원석 (Won-Seok Lee),한화,CF,우투우타,"생년월일 :
1999년 03월 31일"
김준태 (Jun-Tae Kim),KT,C,우투좌타,"생년월일 :
1994년 07월 31일"
김민혁 (Min-Hyeok Kim),KT,LF,우투좌타,"생년월일 :
1995년 11월 21일"
이재원 (Jae-Won Lee),한화,C,우투우타,"생년월일 :
1988년 02월 24일"
주성원 (Seong-Won Joo),키움,C,우투우타,"생년월일 :
2000년 08월 30일"
류승민 (Seung-Min Ryu),삼성,LF,좌투좌타,"생년월일 :
2004년 10월 11일"
고영우 (Young-woo Ko),,3B,우투우타,"생년월일 :
2001년 06월 21일"
이정훈 (Jeong-Hun Lee),롯데,C,우투좌타,"생년월일 :
1994년 12월 07일"
박경수 (Kyeong-Su Park),KT,2B,우투우타,"생년월일 :
1984년 03월 31일"
박민 (Min Park ),KIA,SS,우투우타,"생년월일 :
2001년 06월 05일"
김재상 (Jae-Sang Kim),삼성,2B,우투좌타,"생년월일 :
2004년 07월 26일"
박영빈 (Young-Bin Park),NC,CF,우투좌타,"생년월일 :
1997년 07월 16일"
최원영 (Won-Young Choi ),LG,LF,우투우타,"생년월일 :
2003년 07월 18일"
정은원 (Eun-Won Jung),한화,2B,우투좌타,"생년월일 :
2000년 01월 17일"
장두성 (Du-Seong Jang),롯데,RF,우투좌타,"생년월일 :
1999년 09월 16일"
오선진 (Sun-Jin Oh),롯데,3B,우투우타,"생년월일 :
1989년 07월 07일"
김한별 (Han-Byul Kim),,SS,우투우타,"생년월일 :
2001년 01월 18일"
문보경 (Bo-Gyeong Moon),LG,3B,우투좌타,"생년월일 :
2000년 07월 19일"
전병우 (Byung-Woo Jeon),삼성,3B,우투우타,"생년월일 :
1992년 10월 24일"
최경모 (Kyeong-Mo Choi),SSG,2B,우투우타,"생년월일 :
1996년 06월 17일"
박병호 (Byung-Ho Park),삼성,1B,우투우타,"생년월일 :
1986년 07월 10일"
천성호 (Seong-Ho Cheon),KT,2B,우투좌타,"생년월일 :
1997년 10월 30일"
송지후 (Ji-hoo Song),,2B,우투우타,"생년월일 :
2005년 01월 08일"
김수윤 (Su-Yun Kim),NC,1B,우투우타,"생년월일 :
1998년 07월 16일"
나성범 (Sung-Beom Na),KIA,RF,좌투좌타,"생년월일 :
1989년 10월 03일"
장준원 (Jun-Won Jang),KT,SS,우투우타,"생년월일 :
1995년 11월 21일"
김주성 (Ju-Sung Kim),LG,2B,우투우타,"생년월일 :
1998년 01월 30일"
이상혁 (Sang-Hyeok Lee),한화,2B,우투좌타,"생년월일 :
2001년 09월 14일"
이진영 (Jin-Young Lee),한화,RF,우투우타,"생년월일 :
1997년 07월 21일"
정대선 (Dae-Seon Jung),롯데,2B,우투우타,"생년월일 :
2004년 11월 16일"
서동욱 (Dong-Wook Seo),롯데,C,우투우타,"생년월일 :
2000년 03월 24일"
김재혁 (Jae-Hyeok Kim),삼성,LF,우투우타,"생년월일 :
1999년 12월 26일"
안승한 (Seung-Han Ahn),두산,C,우투우타,"생년월일 :
1992년 01월 25일"
강성우 (Sung-woo Kang),,2B,우투우타,"생년월일 :
2005년 04월 12일"
송찬의 (Chan-Eui Song),LG,RF,우투우타,"생년월일 :
1999년 02월 20일"
양우현 (Woo-Hyun Yang),삼성,2B,우투좌타,"생년월일 :
2000년 04월 13일"
김동엽 (Dong-Yub Kim),삼성,LF,우투우타,"생년월일 :
1990년 07월 24일"
최승민 (Seung-Min Choi),LG,LF,우투좌타,"생년월일 :
1996년 07월 01일"
백두산 (Du-San Baek),롯데,C,우투우타,"생년월일 :
2001년 05월 20일"
황대인 (Dae-In Hwang),KIA,1B,우투우타,"생년월일 :
1996년 02월 10일"
문승원 (Seung-Won Moon),SSG,P,우투우타,"생년월일 :
1989년 11월 28일"
홍종표 (Jong-Pyo Hong),KIA,2B,우투좌타,"생년월일 :
2000년 05월 02일"
전준호 (Jun-Ho Jeon),LG,C,우투우타,"생년월일 :
1998년 07월 01일"
최민창 (Min-Chang Choi),SSG,LF,좌투좌타,"생년월일 :
1996년 04월 16일"
김동혁 (Kim Donghyeok),롯데,LF,좌투좌타,"생년월일 :
2000년 09월 15일"
최명경 (Myeong-Kyung Choi),LG,CF,우투좌타,"생년월일 :
2001년 06월 14일"
장승현 (Seung-Hyeon Jang),두산,C,우투우타,"생년월일 :
1994년 03월 07일"
안현민 (Hyeon-Min Ahn),KT,C,우투우타,"생년월일 :
2003년 08월 22일"
전다민 (Da-min Jeon),두산,RF,우투좌타,"생년월일 :
2001년 08월 21일"
김시앙 (Si-Ang Kim),키움,C,우투우타,"생년월일 :
2001년 10월 31일"
